,Name,country,politicalGroup,id,nationalPoliticalGroup,Vote
520,Rafaela,Netherlands,Renew Europe Group,197868,Democraten 66,
521,Rafalska,Poland,European Conservatives and Reformists Group,197544,Prawo I Sprawiedliwosc,
522,Rangel,Portugal,Group of the European People's Party (Christian Democrats),96903,Partido Social Democrata,
523,Regimenti,Italy,Group of the European People's Party (Christian Democrats),197790,Forza Italia,
524,Regner,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96998,Sozialdemokratische Partei Osterreichs,
525,Rego,Spain,The Left group in the European Parliament - GUE/NGL,197681,Izquierda Unida,
526,Reil,Germany,Identity and Democracy Group,197488,Alternative Fur Deutschland,
527,Reintke,Germany,Group of the Greens/European Free Alliance,103381,Bundnis 90/Die Grunen,
528,Repasi,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,229839,Sozialdemokratische Partei Deutschlands,
529,Ressler,Croatia,Group of the European People's Party (Christian Democrats),197413,Hrvatska Demokratska Zajednica,
530,Reuten,Netherlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,218347,Partij Van De Arbeid,
531,Riba I Giner,Spain,Group of the Greens/European Free Alliance,197832,Esquerra Republicana De Catalunya,
532,Ries,Belgium,Renew Europe Group,4253,Mouvement Reformateur,
533,Maria Rinaldi,Italy,Identity and Democracy Group,197787,Lega,
534,Rinzema,Netherlands,Renew Europe Group,229519,Volkspartij Voor Vrijheid En Democratie,
535,Ripa,Germany,Group of the Greens/European Free Alliance,206158,Okologisch Demokratische Partei,
536,Riquet,France,Renew Europe Group,96885,Mouvement Radical Social Liberal,
537,Rivasi,France,Group of the Greens/European Free Alliance,96743,Europe Ecologie,
538,Riviere,France,Non-attached Members,197615,Reconquete!,
539,Roberti,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197801,Partito Democratico,
540,Rodriguez Pinero,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125043,Partido Socialista Obrero Espanol,
541,Rodriguez Palop,Spain,The Left group in the European Parliament - GUE/NGL,197785,Podemos,
542,Soraya Rodriguez Ramos,Spain,Renew Europe Group,4344,Ciudadanos  Partido De La Ciudadania,
543,Ronai,Hungary,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197584,Demokratikus Koalicio,
544,Rondinelli,Italy,Non-attached Members,197792,Insieme Per Il Futuro,
545,Rooken,Netherlands,European Conservatives and Reformists Group,197776,Ja21,
546,Rookmaker,Netherlands,European Conservatives and Reformists Group,204733,Meer Directe Democratie,
547,Roos,Netherlands,European Conservatives and Reformists Group,197709,Ja21,
548,Roose,France,Group of the Greens/European Free Alliance,197506,Europe Ecologie,
549,Rope,Lithuania,Group of the Greens/European Free Alliance,125214,Lietuvos Valstieciu Ir Zaliuju Sajunga,
550,Ros Sempere,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,204413,Partido Socialista Obrero Espanol,
551,Rouge,France,Identity and Democracy Group,197690,Rassemblement National,
552,Ruissen,Netherlands,European Conservatives and Reformists Group,197773,Staatkundig Gereformeerde Partij,
553,Ruiz Devesa,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,127096,Partido Socialista Obrero Espanol,
554,Rzonca,Poland,European Conservatives and Reformists Group,197545,Prawo I Sprawiedliwosc,
555,Sagartz,Austria,Group of the European People's Party (Christian Democrats),204368,Osterreichische Volkspartei,
556,Salini,Italy,Group of the European People's Party (Christian Democrats),125670,Forza Italia,
557,Sanchez Amor,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197722,Partido Socialista Obrero Espanol,
558,Sander,France,Group of the European People's Party (Christian Democrats),24594,Les Republicains,
559,Sant,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124781,Partit Laburista,
560,Santos,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197650,Partido Socialista,
561,Sardone,Italy,Identity and Democracy Group,197578,Lega,
562,Sarvamaa,Finland,Group of the European People's Party (Christian Democrats),112611,Kansallinen Kokoomus,
563,Saryusz Wolski,Poland,European Conservatives and Reformists Group,28297,Prawo I Sprawiedliwosc,
564,Satouri,France,Group of the Greens/European Free Alliance,197500,Europe Ecologie,
565,Schaldemose,Denmark,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,37312,Socialdemokratiet,
566,Schaller Baross,Hungary,Non-attached Members,213330,Fidesz Magyar Polgari Szovetseg Keresztenydemokrata Neppart,
567,Schieder,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197670,Sozialdemokratische Partei Osterreichs,
568,Schirdewan,Germany,The Left group in the European Parliament - GUE/NGL,190517,Die Linke.,
569,Schmiedtbauer,Austria,Group of the European People's Party (Christian Democrats),197656,Osterreichische Volkspartei,
